source,target,company,similarity
fiala robert a,ozan terrence r,TFSL,0.92517
fiala robert a,ringenbach john,TFSL,0.82218
mulligan william c,ozan terrence r,TFSL,0.909091
mulligan william c,ringenbach john,TFSL,0.81
ozan terrence r,ringenbach john,TFSL,0.9
weil meredith s,zbanek cathy w,TFSL,0.847061
bolzenius beda,molinaroli alex a,JCI,0.822981
coltharp douglas e,katz karen,UA,0.9
coltharp douglas e,sanders harvey,UA,0.9
condon patrick j.,frederickson philip l,ETR,0.888889
condon patrick j.,levenick stuart l,ETR,0.909091
condon patrick j.,lincoln blanche l,ETR,0.909091
condon patrick j.,puckett karen a,ETR,0.95
frederickson philip l,levenick stuart l,ETR,0.909091
frederickson philip l,lincoln blanche l,ETR,0.909091
frederickson philip l,puckett karen a,ETR,0.95
levenick stuart l,lincoln blanche l,ETR,1
levenick stuart l,puckett karen a,ETR,0.954545
lincoln blanche l,puckett karen a,ETR,0.954545
allen william b jr,demetriou steven j.,J,0.802392
allen william b jr,pragada robert v,J,0.983979
allen william b jr,zaccaro joanne caruso,J,0.983979
arnette stephen a,miller shannon,J,0.816498
pragada robert v,zaccaro joanne caruso,J,1
dowling joseph l iii,gendell david b.,IESC,0.807692
dowling joseph l iii,koshkin joe d,IESC,0.863636
gendell david b.,koshkin joe d,IESC,0.923077
anderson robert john,lumpkin mark jr,ESTE,0.945378
anderson robert john,oviedo tony,ESTE,0.868421
lumpkin mark jr,oviedo tony,ESTE,0.896599
dudiak dolores d,fisher john b,FHI,0.847368
dudiak dolores d,germain peter j,FHI,0.808333
dudiak dolores d,uhlman paul a,FHI,0.847368
fisher john b,germain peter j,FHI,0.956349
fisher john b,novak richard a,FHI,0.894022
fisher john b,uhlman paul a,FHI,1
fisher john b,van meter stephen,FHI,0.909167
germain peter j,novak richard a,FHI,0.854167
germain peter j,uhlman paul a,FHI,0.956349
germain peter j,van meter stephen,FHI,0.861905
novak richard a,uhlman paul a,FHI,0.894022
uhlman paul a,van meter stephen,FHI,0.909167
aiyar priya,owens angela,AAL,0.901235
aiyar priya,seymour david,AAL,0.950292
owens angela,seymour david,AAL,0.944853
chan yiu tung,davidson timothy scott,NHTC,1
chan yiu tung,mason randall a,NHTC,0.967672
chan yiu tung,sharng chris tahjiun,NHTC,0.940741
chan yiu tung,wong ching chung,NHTC,1
davidson timothy scott,mason randall a,NHTC,0.967672
davidson timothy scott,sharng chris tahjiun,NHTC,0.940741
davidson timothy scott,wong ching chung,NHTC,1
mason randall a,sharng chris tahjiun,NHTC,0.904794
mason randall a,wong ching chung,NHTC,0.967672
sharng chris tahjiun,wong ching chung,NHTC,0.940741
anderson anthony,berzin ann c,EXC,0.95
anderson anthony,de balmann yves c,EXC,0.9
anderson anthony,jojo linda p,EXC,0.9
anderson anthony,joskow paul l,EXC,0.95
anderson anthony,lawless robert j,EXC,0.9
berzin ann c,de balmann yves c,EXC,0.944444
berzin ann c,debenedictis nicholas,EXC,0.826389
berzin ann c,jojo linda p,EXC,0.844444
berzin ann c,joskow paul l,EXC,1
berzin ann c,lawless robert j,EXC,0.944444
de balmann yves c,debenedictis nicholas,EXC,0.875
de balmann yves c,joskow paul l,EXC,0.944444
de balmann yves c,lawless robert j,EXC,1
debenedictis nicholas,joskow paul l,EXC,0.826389
