source,target,company,similarity
duckworth connie k,niemann jennifer c,NYSE: SCS,0.820455
duckworth connie k,pew robert c iii,NYSE: SCS,0.858516
duckworth connie k,wege peter m ii,NYSE: SCS,0.835227
duckworth connie k,wolters kate p,NYSE: SCS,0.909091
wege peter m ii,wolters kate p,NYSE: SCS,0.835227
colbert virgis,furber jeffrey d.,STAG,0.952381
colbert virgis,guillemette larry t,STAG,1
colbert virgis,jacoby francis x iii,STAG,1
colbert virgis,marr christopher p,STAG,1
colbert virgis,weger hans s,STAG,0.952381
furber jeffrey d.,guillemette larry t,STAG,0.952381
furber jeffrey d.,jacoby francis x iii,STAG,0.952381
furber jeffrey d.,marr christopher p,STAG,0.952381
furber jeffrey d.,weger hans s,STAG,1
guillemette larry t,jacoby francis x iii,STAG,1
guillemette larry t,marr christopher p,STAG,1
guillemette larry t,weger hans s,STAG,0.952381
jacoby francis x iii,marr christopher p,STAG,1
jacoby francis x iii,weger hans s,STAG,0.952381
marr christopher p,weger hans s,STAG,0.952381
bott richard harold,lorentzen oivind,GWR,1
bott richard harold,reese ann n,GWR,0.944853
bott richard harold,scudder mark a,GWR,1
liucci christopher f,walsh matthew o.,GWR,0.810237
lorentzen oivind,reese ann n,GWR,0.944853
lorentzen oivind,scudder mark a,GWR,1
reese ann n,scudder mark a,GWR,0.944853
lamanna joseph,linneman peter,MITT,0.808081
ante adam brooks,villar raul jr.,PYCR,0.889062
deparle nancy ann,dorman david w,CVS,0.863636
deparle nancy ann,millon jean pierre,CVS,1
deparle nancy ann,white tony l,CVS,0.863636
dorman david w,millon jean pierre,CVS,0.863636
dorman david w,white tony l,CVS,1
millon jean pierre,white tony l,CVS,0.863636
kaye david m,pavlish john,MEEC,1
florio nicholas,grout jeff william,STAF,0.954545
florio nicholas,villard dimitri,STAF,0.909091
grout jeff william,villard dimitri,STAF,0.859091
herlihy donagh,singh sukhdev,BLMN,0.87594
downey bruce,hall patricia hemingway,CAH,0.909091
downey bruce,kenny gregory b,CAH,0.909091
downey bruce,killefer nancy,CAH,0.844444
hall patricia hemingway,kenny gregory b,CAH,1
hall patricia hemingway,killefer nancy,CAH,0.954545
kenny gregory b,killefer nancy,CAH,0.954545
bourdow carrie l.,demitrack mark,TRVN,0.968391
bourdow carrie l.,shin barry,TRVN,0.903292
bourdow carrie l.,yoder robert t,TRVN,0.933532
demitrack mark,shin barry,TRVN,0.92906
demitrack mark,yoder robert t,TRVN,0.965021
shin barry,yoder robert t,TRVN,0.884
kumar neil,stephenson brian c,BBIO,0.906322
bonderman david,coulter james g,PGNY,1
aigotti diane,arvia anne l,GATX,1
aigotti diane,ream james b,GATX,1
aigotti diane,sutherland david,GATX,1
aigotti diane,wilson stephen r,GATX,0.944444
aigotti diane,yovovich paul g,GATX,0.95
arvia anne l,ream james b,GATX,1
arvia anne l,sutherland david,GATX,1
arvia anne l,wilson stephen r,GATX,0.944444
arvia anne l,yovovich paul g,GATX,0.95
ream james b,sutherland david,GATX,1
ream james b,wilson stephen r,GATX,0.944444
ream james b,yovovich paul g,GATX,0.95
sutherland david,wilson stephen r,GATX,0.944444
sutherland david,yovovich paul g,GATX,0.95
wilson stephen r,yovovich paul g,GATX,0.9
alexander forbes i j,mcgee joseph a,JBL,0.881274
ansari anousheh,plant john c,JBL,0.888889
ansari anousheh,stout david m,JBL,0.81
brooks martha,stout david m,JBL,0.857143
cadavid sergio,ryan courtney j,JBL,0.825082
creadon gerald,ferri roberto,JBL,0.955026
mccoy frederic e.,mckay francis,JBL,0.902688
mckay francis,melachrino kristine,JBL,0.83277
plant john c,stout david m,JBL,0.9
raymund steven a,stout david m,JBL,0.833333
smith daryn g.,wilson kenneth s,JBL,0.826947
bjornholt james eric,drehobl stephen v,MCHP,0.891621
bjornholt james eric,little mitchell r,MCHP,0.812229
bjornholt james eric,moorthy ganesh,MCHP,0.85
bjornholt james eric,simoncic richard j,MCHP,0.872727
drehobl stephen v,little mitchell r,MCHP,0.834982
drehobl stephen v,moorthy ganesh,MCHP,0.825657
drehobl stephen v,simoncic richard j,MCHP,0.873495
little mitchell r,simoncic richard j,MCHP,0.814286
moorthy ganesh,simoncic richard j,MCHP,0.842002
karanikolas michael,mente michael,RVLV,0.891892
bachelder cheryl a,dodds hamish,PIR,0.809489
bachelder cheryl a,hoffman brendan,PIR,0.91746
bachelder cheryl a,london terry e,PIR,0.91746
bachelder cheryl a,mccague cynthia,PIR,0.91746
bachelder cheryl a,peel michael a,PIR,0.842721
dodds hamish,hoffman brendan,PIR,0.863636
dodds hamish,london terry e,PIR,0.863636
dodds hamish,mccague cynthia,PIR,0.863636
dodds hamish,peel michael a,PIR,0.931818
hoffman brendan,london terry e,PIR,1
hoffman brendan,mccague cynthia,PIR,1
hoffman brendan,peel michael a,PIR,0.921053
london terry e,mccague cynthia,PIR,1
london terry e,peel michael a,PIR,0.921053
mccague cynthia,peel michael a,PIR,0.921053
awenowicz ronald c,brkovich davor,MATW,0.910438
awenowicz ronald c,kohl gary raymond,MATW,0.888996
babe gregory s.,gackenbach steven d,MATW,0.871158
babe gregory s.,nicola steven f,MATW,0.853922
babe gregory s.,walters brian d,MATW,0.862301
bartolacci joseph c,gackenbach steven d,MATW,0.873716
bartolacci joseph c,nicola steven f,MATW,0.867255
bartolacci joseph c,walters brian d,MATW,0.885623
beck david f,jensen paul c.,MATW,0.835
beck david f,rahill paul f,MATW,0.885533
brkovich davor,kohl gary raymond,MATW,0.909774
campbell marcy l,jensen paul c.,MATW,0.849198
campbell marcy l,rahill paul f,MATW,0.813045
dunn brian j,gackenbach steven d,MATW,0.832099
dunn brian j,nicola steven f,MATW,0.840245
dunn brian j,walters brian d,MATW,0.850187
gackenbach steven d,nicola steven f,MATW,0.967879
gackenbach steven d,walters brian d,MATW,0.987237
jensen paul c.,rahill paul f,MATW,0.84915
nicola steven f,walters brian d,MATW,0.980317
boneparth peter,schlifske john e.,KSS,0.820041
prising jonas,schlifske john e.,KSS,0.859091
prising jonas,shapira adrianne,KSS,0.9
schlifske john e.,shapira adrianne,KSS,0.863636
bisson peter,jones john p iii,ADP,0.916667
bisson peter,ready william j,ADP,0.95
bisson peter,wijnberg sandra s,ADP,0.95
clark richard t,jones john p iii,ADP,0.875
jones john p iii,ready william j,ADP,0.875
jones john p iii,wijnberg sandra s,ADP,0.875
ready william j,wijnberg sandra s,ADP,1
bendapudi neeli,carter william h,LANC,0.944444
bendapudi neeli,fox robert l,LANC,0.865801
bendapudi neeli,harris alan f,LANC,0.875
bendapudi neeli,ostryniec robert paul,LANC,0.909091
carter william h,fox robert l,LANC,0.820455
carter william h,harris alan f,LANC,0.833333
carter william h,ostryniec robert paul,LANC,0.863636
fox robert l,harris alan f,LANC,0.918403
fox robert l,ostryniec robert paul,LANC,0.956522
harris alan f,ostryniec robert paul,LANC,0.958333
bowman brent r,schwenger thomas d.,VEEV,0.864912
diehl bowen s,sarner michael scott,CSWC,0.888889
beekhuizen mick j,clouse mark a.,CPB,0.825126
boza xavier,furbee robert,CPB,0.82
clouse mark a.,foley christopher,CPB,0.97381
clouse mark a.,polomski stanley,CPB,0.835729
clouse mark a.,slavtcheff craig,CPB,0.880208
foley christopher,polomski stanley,CPB,0.850826
foley christopher,slavtcheff craig,CPB,0.916667
singleton michelle,singleton philip austin jr.,ONEW,0.89286
lydon thomas f jr,rubinstein jerold h,GROW,0.972222
lydon thomas f jr,terracina roy d,GROW,0.925
rubinstein jerold h,terracina roy d,GROW,0.897222
hammer n robert,miiller ronald l,CVLT,0.855446
disanto michael,malhotra sajid,LLNW,0.816667
chin dean a,salmirs scott b,ABM,0.804412
gartland thomas m,newborn andrea r,ABM,0.836601
gartland thomas m,webb winifred markus,ABM,0.888889
kesavan sudhakar,webb winifred markus,ABM,0.888889
newborn andrea r,webb winifred markus,ABM,0.836601
aron adam m,colanero stephen a,AMC,0.810504
aron adam m,connor kevin m,AMC,0.803571
colanero stephen a,ellis daniel e,AMC,0.810504
hewett gregory a.,sullivan sean s,GOLF,0.9
hewett gregory a.,tishman steven,GOLF,1
hewett gregory a.,yoon yoon soo (gene),GOLF,0.859524
sullivan sean s,tishman steven,GOLF,0.9
tishman steven,yoon yoon soo (gene),GOLF,0.859524
ardila jaime,mckinstry nancy,ACN,0.865801
ardila jaime,pelisson gilles,ACN,0.956522
ardila jaime,price paula a,ACN,0.831349
ardila jaime,tang frank kui,ACN,0.865801
ardila jaime,travis tracey thomas,ACN,0.820455
burgum melissa a,sharma manish,ACN,0.805714
deblaere johan,rowland david,ACN,0.801571
jerdee chad t,van 't noordende alexander m,ACN,0.81837
london daniel t,van 't noordende alexander m,ACN,0.814529
lumb richard,van 't noordende alexander m,ACN,0.826504
mcclure kathleen r,unruch joel,ACN,0.834543
mckinstry nancy,pelisson gilles,ACN,0.909091
mckinstry nancy,sarin arun,ACN,0.859524
mckinstry nancy,travis tracey thomas,ACN,0.944444
pelisson gilles,price paula a,ACN,0.846154
pelisson gilles,tang frank kui,ACN,0.909091
pelisson gilles,travis tracey thomas,ACN,0.863636
sarin arun,travis tracey thomas,ACN,0.81
shook ellyn,sweet julie spellman,ACN,0.806603
brat james l,hansen douglas b,FCPT,0.813616
brat james l,lenehan william h,FCPT,0.858516
brat james l,moody john s,FCPT,0.834912
brat james l,morgan gerald r,FCPT,0.917045
brat james l,ogilvie marran h.,FCPT,0.858516
hansen douglas b,lenehan william h,FCPT,0.841837
hansen douglas b,moody john s,FCPT,0.875
hansen douglas b,ogilvie marran h.,FCPT,0.9375
jemley charles,moody john s,FCPT,0.875
jemley charles,ogilvie marran h.,FCPT,0.821429
jemley charles,stewart niccole,FCPT,0.836601
lenehan william h,ogilvie marran h.,FCPT,0.826531
moody john s,ogilvie marran h.,FCPT,0.928571
ogilvie marran h.,szurek paul e.,FCPT,0.80839
reddy madhukar,torgerson william,MXL,0.855682
heaton michael r,noble jeremy andrew,MKL,0.823529
absher jody k,durbin jennifer j,CMC,1
absher jody k,lawrence paul james,CMC,0.80557
absher jody k,sloan lindsay l,CMC,0.864035
alvarado joseph,batchelor adam b.,CMC,0.874542
alvarado joseph,dubois carey j,CMC,0.802198
alvarado joseph,elmore john c.,CMC,0.802198
avril vicki l,mills rick j,CMC,0.833333
dubois carey j,elmore john c.,CMC,1
durbin jennifer j,lawrence paul james,CMC,0.80557
durbin jennifer j,sloan lindsay l,CMC,0.864035
hickey adam r,kirkpatrick paul k.,CMC,0.908592
hickey adam r,porter tracy l,CMC,0.898265
hickey adam r,smith barbara,CMC,0.817755
kirkpatrick paul k.,porter tracy l,CMC,0.846046
porter tracy l,smith barbara,CMC,0.841709
alonzo annette m,severyn carol jean,CFR,0.847467
alonzo annette m,stead jimmy,CFR,0.875
alonzo annette m,wolfshohl candace k,CFR,0.893832
frost patrick b,perotti william l,CFR,0.807121
severyn carol jean,stead jimmy,CFR,0.882857
stead jimmy,wolfshohl candace k,CFR,0.801136
torgerson lance,torgerson tammy,CVEO,1
galbreath lizanne,gellein raymond l jr,VAC,0.863636
bloomstein daniel s,boyd steven c,SPH,0.906818
bloomstein daniel s,brinkworth douglas,SPH,0.888266
bloomstein daniel s,dambrosio a davin,SPH,0.862893
bloomstein daniel s,kuglin michael,SPH,0.838055
bloomstein daniel s,onderdonk keith p,SPH,0.883481
bloomstein daniel s,scanlon neil,SPH,0.952386
bloomstein daniel s,stivala michael a,SPH,0.952386
boyd steven c,brinkworth douglas,SPH,0.884514
boyd steven c,dambrosio a davin,SPH,0.82382
boyd steven c,kuglin michael,SPH,0.884778
boyd steven c,onderdonk keith p,SPH,0.879268
boyd steven c,scanlon neil,SPH,0.954545
boyd steven c,stivala michael a,SPH,0.954545
brinkworth douglas,kuglin michael,SPH,0.819904
brinkworth douglas,onderdonk keith p,SPH,0.859145
brinkworth douglas,scanlon neil,SPH,0.935976
brinkworth douglas,stivala michael a,SPH,0.935976
cleffi francesca,koepke bryon l,SPH,0.9
dambrosio a davin,onderdonk keith p,SPH,0.821686
dambrosio a davin,scanlon neil,SPH,0.867989
dambrosio a davin,stivala michael a,SPH,0.867989
kuglin michael,onderdonk keith p,SPH,0.813853
kuglin michael,scanlon neil,SPH,0.883099
kuglin michael,stivala michael a,SPH,0.883099
onderdonk keith p,scanlon neil,SPH,0.929021
onderdonk keith p,stivala michael a,SPH,0.929021
scanlon neil,stivala michael a,SPH,1
clark robert j,hardesty benjamin a.,AR,0.846154
kagan peter,levy james r.,AR,1
basoukeas antonios,wilson gordon a.,TVPT,0.956349
minetola matthew,wilson gordon a.,TVPT,0.808333
crooks james m,engles amanda l,EMCF,1
crooks james m,freeman robert w,EMCF,0.826389
crooks james m,freemer mark a,EMCF,1
crooks james m,mason john b,EMCF,1
engles amanda l,freeman robert w,EMCF,0.826389
engles amanda l,freemer mark a,EMCF,1
engles amanda l,mason john b,EMCF,1
freeman robert w,freemer mark a,EMCF,0.826389
freeman robert w,mason john b,EMCF,0.826389
freemer mark a,mason john b,EMCF,1
fiorentino edward,steven edelman,SENS,1
beyer richard m,switz robert e,MU,1
bhatia manish h,sadana sumit,MU,0.918353
eskew michael l,henkel herbert l,MMM,0.9
eskew michael l,kent ahmet muhtar,MMM,0.9
henkel herbert l,kent ahmet muhtar,MMM,0.875
hoskins roche l talbott,huber jeff,EA,0.835227
hoskins roche l talbott,simonson richard a,EA,0.835227
huber jeff,simonson richard a,EA,0.846154
miele laura,singh vijayanthimala,EA,0.802499
goldman larry,grae seth,LTBR,0.96798
goldman larry,mushakov andrey,LTBR,0.9
grae seth,mushakov andrey,LTBR,0.895918
berube brian a,cordeiro eduardo e,CBT,0.9
berube brian a,cross nicholas s.,CBT,0.85
berube brian a,kelly james patrick,CBT,0.935166
berube brian a,von gottberg friedrich,CBT,0.816742
cordeiro eduardo e,cross nicholas s.,CBT,0.9375
cordeiro eduardo e,kelly james patrick,CBT,0.848096
cross nicholas s.,kelly james patrick,CBT,0.804566
dumont lisa m,kalita karen a,CBT,0.811131
dumont lisa m,zhu jeff ji,CBT,0.88883
kalita karen a,mclaughlin erica,CBT,0.83323
kalita karen a,zhu jeff ji,CBT,0.918269
kalkstein hobart,keohane sean d,CBT,0.805917
mclaughlin erica,zhu jeff ji,CBT,0.871615
bement robert s,brandt donald e,PNW,0.805
bement robert s,danner denise r,PNW,0.811667
bement robert s,froetscher daniel t,PNW,0.870668
bement robert s,hatfield john s.,PNW,0.811667
bement robert s,nickloy lee r.,PNW,0.890873
blankenship elizabeth a,geisler theodore n,PNW,0.916667
blankenship elizabeth a,smith robert edgar,PNW,0.811667
brandt donald e,nickloy lee r.,PNW,0.840887
danner denise r,hatfield john s.,PNW,0.909091
danner denise r,nickloy lee r.,PNW,0.839286
easterly donna m,guldner jeffrey b.,PNW,0.804566
easterly donna m,lockwood barbara d,PNW,0.861607
froetscher daniel t,hatfield james r,PNW,0.850379
froetscher daniel t,nickloy lee r.,PNW,0.856635
geisler theodore n,smith robert edgar,PNW,0.894022
geisler theodore n,tetlow jacob,PNW,0.847368
guldner jeffrey b.,hatfield james r,PNW,0.818561
hatfield james r,nickloy lee r.,PNW,0.814683
hatfield john s.,nickloy lee r.,PNW,0.839286
boone christopher l,dielwart john,TESO,0.951361
boone christopher l,greening douglas,TESO,0.845238
boone christopher l,mawford nicholas,TESO,0.891204
boone christopher l,mcniven roy,TESO,0.838057
dielwart john,greening douglas,TESO,0.873188
dielwart john,mawford nicholas,TESO,0.844551
dielwart john,mcniven roy,TESO,0.844551
dielwart john,milligan raymond vance qc,TESO,0.815613
dyment fred j,kott gary l,TESO,0.857143
greening douglas,mawford nicholas,TESO,0.9025
greening douglas,mcniven roy,TESO,0.9025
mawford nicholas,mcniven roy,TESO,0.94898
milligan raymond vance qc,sutherlin michael w,TESO,0.858487
ainsworth john,folger anthony,PRGS,0.81381
ainsworth john,jarrett loren,PRGS,0.940741
curtis george l,twohig michael j,CLH,0.808081
matthews brian l,wimberly gary,PRFT,0.826681
gould jeffrey,gould matthew j,BRT,0.987179
davenport bonnie,grant william e,CCBG,0.944444
ivers-read gillian c,rolfe lindsey,CLVS,0.810321
fennell laura a,mclean kerry j,INTU,0.815457
hensley robin,kirschner sidney,SGC,0.859524
hensley robin,siegel todd e,SGC,0.840278
kirschner sidney,mellini paul v,SGC,0.809365
kirschner sidney,siegel todd e,SGC,0.875
scharf charles w,stanton john w,MSFT,0.958333
scharf charles w,warrior padmasree,MSFT,0.863636
stanton john w,warrior padmasree,MSFT,0.833333
grainger michael j,whitchurch charles r,SCSC,0.825397
hartz julia,hartz kevin,EB,1
buhrig melissa m,lamp david l,CVI,1
buhrig melissa m,neumann dane j.,CVI,0.8125
buhrig melissa m,pytosh mark a,CVI,1
conaway jeffrey d.,neumann dane j.,CVI,0.8
conaway jeffrey d.,wright michael h. jr.,CVI,0.9
lamp david l,neumann dane j.,CVI,0.8125
lamp david l,pytosh mark a,CVI,1
neumann dane j.,pytosh mark a,CVI,0.8125
bickett brent b,ducommun david,CNNE,0.946078
ducommun david,gravelle michael l,CNNE,0.821739
harris hugh r,martire frank r,CNNE,0.95
harris hugh r,meinhardt erika,CNNE,0.944444
harris hugh r,willey frank p,CNNE,0.888889
martire frank r,meinhardt erika,CNNE,0.9
martire frank r,willey frank p,CNNE,0.95
meinhardt erika,willey frank p,CNNE,0.826389
carpenter tod e.,scalf thomas r,DCI,0.834796
cook william m,perushek mary lynne,DCI,0.89418
cook william m,shaw james f,DCI,0.904301
cook william m,ward jay l,DCI,0.903226
perushek mary lynne,shaw james f,DCI,0.867857
perushek mary lynne,ward jay l,DCI,0.862245
shaw james f,ward jay l,DCI,0.93631
baldridge richard a,blair robert james,VSAT,0.868855
baldridge richard a,dankberg mark d,VSAT,0.904647
baldridge richard a,duffy shawn lynn,VSAT,0.936492
baldridge richard a,lippert keven k,VSAT,0.830878
baldridge richard a,miller mark j,VSAT,0.820451
blair robert james,chandran girish,VSAT,0.904762
blair robert james,dankberg mark d,VSAT,0.833636
blair robert james,duffy shawn lynn,VSAT,0.916871
blair robert james,lippert keven k,VSAT,0.813445
chandran girish,duffy shawn lynn,VSAT,0.836471
chandran girish,ryan david louis,VSAT,0.833384
dankberg mark d,duffy shawn lynn,VSAT,0.894675
dirks bruce leroy,peterman ken allen,VSAT,0.871558
dixon evan christopher,miller craig andrew,VSAT,0.811126
dixon evan christopher,nathan krishna,VSAT,0.833333
duffy shawn lynn,lippert keven k,VSAT,0.882523
duffy shawn lynn,miller mark j,VSAT,0.805714
bel roberto,cradic amy,NJR,0.800926
bel roberto,reich richard,NJR,0.821558
cradic amy,reich richard,NJR,0.898467
cradic amy,shea jacqueline k,NJR,0.826721
downes laurence m,lockwood glenn c,NJR,0.829224
dugan mariellen,kosierowski stanley m,NJR,0.825176
ellis kathleen t,kosierowski stanley m,NJR,0.848342
ellis kathleen t,lockwood glenn c,NJR,0.808333
migliaccio patrick j.,shea jacqueline k,NJR,0.833458
bigham michael,haskel william m.,PRTK,0.931823
bigham michael,loh evan,PRTK,0.858289
bigham michael,woodrow adam,PRTK,0.931823
brenner randall b.,haskel william m.,PRTK,0.801215
brenner randall b.,loh evan,PRTK,0.815508
brenner randall b.,woodrow adam,PRTK,0.854116
haskel william m.,loh evan,PRTK,0.882735
haskel william m.,woodrow adam,PRTK,0.952381
loh evan,woodrow adam,PRTK,0.882735
lombardi john a,mattson eric l,REXX,0.916422
lombardi john a,shaner lance t,REXX,0.934163
lombardi john a,zak john j,REXX,0.880051
mattson eric l,shaner lance t,REXX,0.967433
mattson eric l,zak john j,REXX,0.967433
shaner lance t,zak john j,REXX,0.933333
aydt matthias,jia yueting,FFIE,0.944853
johnston james michael,klein brian katz,RFP,1
kilgour lori,theriault luc,RFP,0.822981
laberge pierre,piche andre l.,RFP,0.846212
laflamme yves,vachon jacques p,RFP,0.879229
longworth jo-ann,travaglini silvana,RFP,0.816164
longworth jo-ann,vachon jacques p,RFP,0.803328
piche andre l.,travaglini silvana,RFP,0.814551
tremblay richard joseph,vachon jacques p,RFP,0.840085
cole loren d,cosgrove peter k,CHMG,0.809955
cole loren d,fariello daniel d,CHMG,0.816755
cole loren d,hazelton kimberly a,CHMG,0.829702
cosgrove peter k,hazelton kimberly a,CHMG,0.813811
cosgrove peter k,kenefick jeffrey p.,CHMG,0.861674
difabio louis c,krebs karl francis,CHMG,0.800781
fariello daniel d,hazelton kimberly a,CHMG,0.878793
fariello daniel d,wirth thomas w,CHMG,0.88065
hazelton kimberly a,wirth thomas w,CHMG,0.844364
brady patrick,branca richard,SBBX,0.810185
brady patrick,caristia katherine h,SBBX,0.842454
brady patrick,hontz mark j,SBBX,0.825714
brady patrick,mcnerney robert,SBBX,0.883272
branca richard,caristia katherine h,SBBX,0.880952
branca richard,hontz mark j,SBBX,0.97619
branca richard,marvil timothy,SBBX,0.809524
branca richard,mcnerney robert,SBBX,0.904762
caristia katherine h,hontz mark j,SBBX,0.9
caristia katherine h,marvil timothy,SBBX,0.836538
caristia katherine h,mcnerney robert,SBBX,0.970588
hontz mark j,marvil timothy,SBBX,0.825
hontz mark j,mcbride michael x,SBBX,0.8
hontz mark j,mcnerney robert,SBBX,0.925
marvil timothy,mcnerney robert,SBBX,0.882353
dreessen ruth,marsh andrew,GEVO,0.978704
dreessen ruth,mize gary w.,GEVO,1
dreessen ruth,roth johannes minho,GEVO,1
gruber patrick r.,ryan christopher michael,GEVO,0.872727
gruber patrick r.,willis mike,GEVO,0.821034
marsh andrew,mize gary w.,GEVO,0.978704
marsh andrew,roth johannes minho,GEVO,0.978704
mize gary w.,roth johannes minho,GEVO,1
roda gregory,willis mike,GEVO,0.838174
ausher jason r,harrington thomas,PRMW,0.82711
ausher jason r,jamieson william alan,PRMW,0.853187
ausher jason r,poe marni morgan,PRMW,0.869717
harrington thomas,jamieson william alan,PRMW,0.875
harrington thomas,poe marni morgan,PRMW,0.869231
harrington thomas,wells jay,PRMW,0.864035
jamieson william alan,melaragni anne,PRMW,0.834375
jamieson william alan,poe marni morgan,PRMW,0.9
jamieson william alan,romero mercedes,PRMW,0.883929
melaragni anne,romero mercedes,PRMW,0.948529
poe marni morgan,romero mercedes,PRMW,0.80625
cosse steven a,doramus mark c,SFNC,0.844444
cosse steven a,hunt eugene,SFNC,0.802778
cosse steven a,lanigan susan s,SFNC,0.9
cosse steven a,shoptaw robert l,SFNC,0.844444
doramus mark c,hunt eugene,SFNC,0.836601
doramus mark c,lanigan susan s,SFNC,0.944444
doramus mark c,purvis tom e.,SFNC,0.826389
doramus mark c,shoptaw robert l,SFNC,0.888889
hunt eugene,lanigan susan s,SFNC,0.878906
hunt eugene,purvis tom e.,SFNC,0.878906
hunt eugene,shoptaw robert l,SFNC,0.836601
hunt eugene,teubner russell william,SFNC,0.827206
lanigan susan s,purvis tom e.,SFNC,0.875
lanigan susan s,shoptaw robert l,SFNC,0.944444
lanigan susan s,teubner russell william,SFNC,0.823529
purvis tom e.,shoptaw robert l,SFNC,0.826389
purvis tom e.,teubner russell william,SFNC,0.907563
chirico james m,shah shefali a,AVYA,0.840278
mcgrath kieran j,shah shefali a,AVYA,0.813187
mcgrath kieran j,speed kevin,AVYA,0.861529
aznar jose maria,bancroft natalie,NWS,1
aznar jose maria,barnes peter,NWS,0.866667
aznar jose maria,murdoch lachlan k,NWS,1
aznar jose maria,pessoa ana paula,NWS,0.866667
aznar jose maria,siddiqui masroor,NWS,0.866667
bancroft natalie,barnes peter,NWS,0.866667
bancroft natalie,murdoch lachlan k,NWS,1
bancroft natalie,pessoa ana paula,NWS,0.866667
bancroft natalie,siddiqui masroor,NWS,0.866667
barnes peter,murdoch lachlan k,NWS,0.866667
murdoch lachlan k,pessoa ana paula,NWS,0.866667
murdoch lachlan k,siddiqui masroor,NWS,0.866667
pessoa ana paula,siddiqui masroor,NWS,1
holloway edward a.,scaff william e jr,SYRG,0.811671
goldsmith carl h,klein scott martin,LLAP,1
jassy andrew r,olsavsky brian t,AMZN,0.823118
jassy andrew r,reynolds shelley,AMZN,0.867058
olsavsky brian t,reynolds shelley,AMZN,0.954545
olsavsky brian t,zapolsky david,AMZN,0.875967
reynolds shelley,zapolsky david,AMZN,0.913903
alvarez ralph,luciano juan r,LLY,0.85
baicker katherine,eskew michael l,LLY,0.863636
baicker katherine,fyrwald j erik,LLY,0.823529
baicker katherine,jackson jamere,LLY,0.909091
baicker katherine,kaelin william g jr,LLY,1
baicker katherine,runge marschall s,LLY,0.954545
eskew michael l,kaelin william g jr,LLY,0.863636
eskew michael l,runge marschall s,LLY,0.9
fyrwald j erik,kaelin william g jr,LLY,0.823529
hedley mary lynne,johnson kimberly h,LLY,0.875
hedley mary lynne,sulzberger gabrielle,LLY,0.95
jackson jamere,kaelin william g jr,LLY,0.909091
jackson jamere,runge marschall s,LLY,0.844444
johnson kimberly h,sulzberger gabrielle,LLY,0.916667
kaelin william g jr,runge marschall s,LLY,0.954545
robertson chris j,wood william david iii,AGYS,0.8
dewey kenneth w.,grinney jay,EGN,1
cerminara kyle,johnson lewis m,PIH,1
cerminara kyle,moglia joseph h,PIH,0.973684
johnson lewis m,moglia joseph h,PIH,0.973684
baer donald a,berg donald c,MDP,1
baer donald a,frazier meredith d mell,MDP,0.915278
baer donald a,tallett elizabeth e,MDP,0.950292
berg donald c,frazier meredith d mell,MDP,0.915278
berg donald c,tallett elizabeth e,MDP,0.950292
frazier meredith d mell,tallett elizabeth e,MDP,0.869048
markison brian a,stark don c,IMMU,0.834023
behan mark,miller elizabeth,AROW,0.910714
casaccio tenee r,kruczlnicki david g,AROW,1
casaccio tenee r,read colin l,AROW,0.822857
kruczlnicki david g,read colin l,AROW,0.822857
clement james bond,goodson charles t,PQ,0.810417
clement james bond,mixon art m iii,PQ,0.871711
goodson charles t,mixon art m iii,PQ,0.946078
fraser anna,siegel matthew o.,SONO,0.87551
lazarus edward p,millington nicholas,SONO,0.882353
lazarus edward p,spence patrick,SONO,0.871212
aunan greg d,sherman jeffrey scott,HMSY,0.876124
aunan greg d,south teresa,HMSY,0.802036
lucia william c,sherman jeffrey scott,HMSY,0.853029
neuman semone,nustad cynthia,HMSY,0.819903
nustad cynthia,sherman jeffrey scott,HMSY,0.801286
schwartz bart m,stowe richard h,HMSY,0.814815
schwartz bart m,tellez cora m,HMSY,0.816121
sherman jeffrey scott,south teresa,HMSY,0.900452
sherman jeffrey scott,williams douglas m.,HMSY,0.875283
south teresa,williams douglas m.,HMSY,0.871895
betz william,jensen christopher l,NXPI,0.907013
betz william,ronald martino,NXPI,0.876311
betz william,sievers kurt,NXPI,0.851161
betz william,wuamett jennifer,NXPI,0.881633
jensen christopher l,ronald martino,NXPI,0.858964
jensen christopher l,sievers kurt,NXPI,0.930261
jensen christopher l,wuamett jennifer,NXPI,0.905956
ronald martino,sievers kurt,NXPI,0.815905
sievers kurt,wuamett jennifer,NXPI,0.947368
bond darryl,shin ho,YEXT,0.807717
cotter jennifer cunningham,rendich andrew s,PTON,0.946078
knight  justin g,knight nelson,APLE,0.880952
brunner robert e,fernandez manuel a,LEG,0.947368
brunner robert e,odom judy c,LEG,0.842721
brunner robert e,wood phoebe a,LEG,0.813321
burns benjamin michael,hagale james tyson,LEG,0.87931
burns benjamin michael,kleiboeker ryan michael,LEG,0.840909
burns benjamin michael,ptasinski christina,LEG,0.87931
crusa jack d,park dennis s,LEG,0.936508
davis jennifer joy,smith robert s jr,LEG,1
davis perry e,desonier david m,LEG,0.844199
davis perry e,iorio russell j,LEG,0.950758
desonier david m,flanigan matthew c,LEG,0.960147
desonier david m,iorio russell j,LEG,0.869534
dolloff j mitchell,douglas scott s,LEG,0.809377
dolloff j mitchell,mccoy susan r,LEG,0.877193
dolloff j mitchell,trent tammy m,LEG,0.855699
douglas scott s,glassman karl g,LEG,0.844185
